title,authors,year,abstract,keywords,doi,url,venue,type,source
The logical transformation and realization path of generative artificial intelligence empowerment instructional design from the perspective of digital transformation,"Shuai Zhang, Hong Li, Xuanchao Chen",2025,"The precise empowerment instructional design of generative artificial intelligence is a key means to promote and improve the quality of teaching, which responds to the urgent needs of China 's digital transformation. As a new generation of digital ...",,10.1145/3724504.3724511,https://dl.acm.org/doi/10.1145/3724504.3724511,"ICIEAI '24: Proceedings of the 2024 2nd International Conference on Information Education and Artificial IntelligenceDecember 2024, Pages 34–39https://doi.org/10.1145/3724504.3724511",article,ACM
Beyond Text-to-Text: An Overview of Multimodal and Generative Artificial Intelligence for Education Using Topic Modeling,"Ville Heilala, Roberto Araya, Raija Hämäläinen",2025,"Generative artificial intelligence (GenAI) can reshape education and learning. While large language models (LLMs) like ChatGPT dominate current educational research, multimodal capabilities—such as text-to-speech and text-to-image—are less explored. This ...",,10.1145/3672608.3707764,https://dl.acm.org/doi/10.1145/3672608.3707764,"SAC '25: Proceedings of the 40th ACM/SIGAPP Symposium on Applied ComputingMarch 2025, Pages 54–63https://doi.org/10.1145/3672608.3707764",article,ACM
Impacts of the Usage of Generative Artificial Intelligence on Software Development Process,"Patricia de Oliveira Santos, Allan Chamon Figueiredo, Pedro Nuno Moura, Bruna Diirr, Adriana C. F. Alvim, Rodrigo Pereira Dos Santos",2024,"Context: Over the years, tools have been created to improve the execution of development process activities. The emergence of generative Artificial Intelligence (AI) and, more recently, the launch and dissemination of Copilot, ChatGPT-3 and other ...",,10.1145/3658271.3658337,https://dl.acm.org/doi/10.1145/3658271.3658337,"SBSI '24: Proceedings of the 20th Brazilian Symposium on Information SystemsArticle No.: 65, Pages 1–9https://doi.org/10.1145/3658271.3658337",article,ACM
Learning Assessment for Open Education Learners in the Era of Generative Artificial Intelligence,"Yuanyi Qi, Lamei Wang",2024,"Generative Artificial Intelligence (AI) tools are now used by students to do their learning assessment, thus impairing the value of such learning assessment. For open education learners who aim to just obtain adult education diplomas, particularly, the ...",,10.1145/3678392.3678405,https://dl.acm.org/doi/10.1145/3678392.3678405,ICFET '24: Proceedings of the 2024 10th International Conference on Frontiers of Educational TechnologiesPages 38–44https://doi.org/10.1145/3678392.3678405,article,ACM
How Can Generative Artificial Intelligence Techniques Facilitate Intelligent Research into Ancient Books?,"Jiangfeng Liu, Xueliang Ma, Lanyu Wang, Lei Pei",2024,"Generative AI changes the paradigm of natural language processing research, sets off a new trend of research in computational humanities and computational social sciences, and provides unique perspectives on digital intelligence-enabled ancient book ...",,10.1145/3690391,https://dl.acm.org/doi/10.1145/3690391,"Journal on Computing and Cultural Heritage (JOCCH), Volume 17, Issue 4Article No.: 57, Pages 1–20https://doi.org/10.1145/3690391",article,ACM
Interdisciplinary Perspectives on Generative Artificial Intelligence Adoption in Higher Education: A Theoretical Framework Review,"James Ewert Duah, Xin Lu, Paul McGivern, Yanguo Jing",2025,"The ongoing integration of Generative Artificial Intelligence (GenAI) within higher education (HE) signifies a pivotal shift in pedagogical paradigms, demanding comprehensive theoretical and practical considerations. This paper critically examines the ...",,10.1145/3704289.3704293,https://dl.acm.org/doi/10.1145/3704289.3704293,ICBDE '24: Proceedings of the 2024 7th International Conference on Big Data and EducationPages 1–9https://doi.org/10.1145/3704289.3704293,article,ACM
Assessment in CS50 with AI: Leveraging Generative Artificial Intelligence for Personalized Student Evaluation,"Rongxin Liu, Benjamin Xu, Christopher Perez, Julianna Zhao, Yuliia Zhukovets, David J. Malan",2025,"The scalability challenges of code review and pair-programming assessments in large computer science courses, such as CS50 at Harvard University, have opened up opportunities for the application of Generative AI. Leveraging large language models (LLMs), ...",,10.1145/3641555.3705061,https://dl.acm.org/doi/10.1145/3641555.3705061,SIGCSETS 2025: Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 2Page 1735https://doi.org/10.1145/3641555.3705061,article,ACM
Policy Interventions and Regulations on Generative Artificial Intelligence: Key Gaps and Core Challenges,"Shiming Hu, Yifan Li",2024,"This study examines policy interventions and regulation of generative artificial intelligence (AI), focusing on key differences in generative AI policy in the EU, the US, and China. Using a comparative research methodology, the study analyzed the most ...",,10.1145/3657054.3659122,https://dl.acm.org/doi/10.1145/3657054.3659122,dg.o '24: Proceedings of the 25th Annual International Conference on Digital Government ResearchPages 1034–1036https://doi.org/10.1145/3657054.3659122,article,ACM
Turning Real-Time Analytics into Adaptive Scaffolds for Self-Regulated Learning Using Generative Artificial Intelligence,"Tongguang Li, Debarshi Nath, Yixin Cheng, Yizhou Fan, Xinyu Li, Mladen Raković, Hassan Khosravi, Zachari Swiecki, Yi-Shan Tsai, Dragan Gašević",2025,"In computer-based learning environments (CBLEs), adopting effective self-regulated learning (SRL) strategies requires sophisticated coordination of multiple SRL processes. While various studies have proposed adaptive SRL scaffolds (i.e. real-time advice ...",,10.1145/3706468.3706559,https://dl.acm.org/doi/10.1145/3706468.3706559,LAK '25: Proceedings of the 15th International Learning Analytics and Knowledge ConferencePages 667–679https://doi.org/10.1145/3706468.3706559,article,ACM
Research on the Influencing Factors of University Teachers' Acceptance of Generative Artificial Intelligence Technology,Yuhua Cao,2025,"In order to investigate the influencing factors and their action mechanism for university teachers' acceptance of generative AI, this paper integrates the TAM and TOE model, focuses on the variables of self-efficacy, technological efficiency, ...",,10.1145/3732801.3732821,https://dl.acm.org/doi/10.1145/3732801.3732821,IECA '25: Proceedings of the 2025 2nd International Conference on Informatics Education and Computer Technology ApplicationsPages 93–99https://doi.org/10.1145/3732801.3732821,article,ACM
A Study on the Pathways of Generative Artificial Intelligence (GenAI) Collaborating with Cultural and Creative Product Innovation Design Driven by New-Form Productivity,"Ying Lin, Xuefei Wu",2025,"With the rapid development of the digital economy, the deep integration of digital technology and the cultural and creative industries has become an important pathway to promote the high-quality development of the cultural industry. The report of the 20th ...",,10.1145/3756580.3756623,https://dl.acm.org/doi/10.1145/3756580.3756623,"ICEKIM '25: Proceedings of the 2025 6th International Conference on Education, Knowledge and Information ManagementPages 263–269https://doi.org/10.1145/3756580.3756623",article,ACM
Applications and Challenges of Generative Artificial Intelligence Enabling Critical Thinking Development in International Undergraduate Education,"Yan Lin, Lu Zhang",2025,"In today's fast-changing information-exploding era, developing students' critical thinking has become one of the most important tasks in international undergraduate education. Generative AI can simulate human creativity and imagination, providing brand-...",,10.1145/3722237.3722399,https://dl.acm.org/doi/10.1145/3722237.3722399,ICAIE '24: Proceedings of the 2024 3rd International Conference on Artificial Intelligence and EducationPages 944–949https://doi.org/10.1145/3722237.3722399,article,ACM
Towards Characterizing Trust in Generative Artificial Intelligence among Students,"Matin Amoozadeh, David Daniels, Stella Chen, Daye Nam, Aayush Kumar, Michael Hilton, Mohammad Amin Alipour, Sruti Srinivasa Ragavan",2023,,,10.1145/3568812.3603469,https://dl.acm.org/doi/10.1145/3568812.3603469,ICER '23: Proceedings of the 2023 ACM Conference on International Computing Education Research - Volume 2Pages 3–4https://doi.org/10.1145/3568812.3603469,article,ACM
Design and Implementation of CDIO Teaching Empowered by Generative Artificial Intelligence: Taking the Course of “Post-Production Visual Effects” as an Example,"Limeng Wang, Pingzhang Gou, Tianzhiwen Teng",2025,"The CDIO model emphasizes project-based learning, mainly to cultivate students’ ability to integrate knowledge and apply innovative practices. It helps achieve the teaching objectives of practical courses in a particular way. Today, generative artificial ...",,10.1145/3756580.3756652,https://dl.acm.org/doi/10.1145/3756580.3756652,"ICEKIM '25: Proceedings of the 2025 6th International Conference on Education, Knowledge and Information ManagementPages 435–439https://doi.org/10.1145/3756580.3756652",article,ACM
Session details: TRACK 16: Implications of Generative Artificial Intelligence for Government,"Fadi Salem, Gianluca Misuraca, Theresa A. Pardo",2024,,,10.1145/3670740,https://dl.acm.org/doi/10.1145/3670740,dg.o '24: Proceedings of the 25th Annual International Conference on Digital Government Researchhttps://doi.org/10.1145/3670740,article,ACM
Multimodal Emotion Analysis of Online Product Marketing Information in Social Interaction and Internet Behavior Based on Generative Artificial Intelligence,"Lu Ding, Xiake Li, Naifeng Liang, Wei Pi",2025,"With the proliferation of multimodal data such as text, images and videos on social networks, it is particularly important to extract valuable information from these diverse data sources. In this study, a multimodal sentiment analysis framework based on ...",,10.1145/3745238.3745511,https://dl.acm.org/doi/10.1145/3745238.3745511,DEAI '25: Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area International Conference on Digital Economy and Artificial IntelligencePages 1743–1752https://doi.org/10.1145/3745238.3745511,article,ACM
EmoEden: Applying Generative Artificial Intelligence to Emotional Learning for Children with High-Function Autism,"Yilin Tang, Liuqing Chen, Ziyu Chen, Wenkai Chen, Yu Cai, Yao Du, Fan Yang, Lingyun Sun",2024,"Children with high-functioning autism (HFA) often face challenges in emotional recognition and expression, leading to emotional distress and social difficulties. Conversational agents developed for HFA children in previous studies show limitations in ...",,10.1145/3613904.3642899,https://dl.acm.org/doi/10.1145/3613904.3642899,"CHI '24: Proceedings of the 2024 CHI Conference on Human Factors in Computing SystemsArticle No.: 1001, Pages 1–20https://doi.org/10.1145/3613904.3642899",article,ACM
A Path Study of Generative Artificial Intelligence Enabling Online Education Platforms in Colleges and Universities,"Xiling Wang, Lei Lei",2024,"With the development of Internet and AI technologies, online education platforms in colleges and universities face challenges in personalized teaching and teacher-student interaction. Based on the technical characteristics of generative AI, combined with ...",,10.1145/3700297.3700354,https://dl.acm.org/doi/10.1145/3700297.3700354,ISAIE '24: Proceedings of the 2024 International Symposium on Artificial Intelligence for EducationPages 332–338https://doi.org/10.1145/3700297.3700354,article,ACM
Path Exploration of Generative Artificial Intelligence Enabling the Construction of Civic Education in Primary and Secondary Schools,"Qishan Zhang, Yuxin Luo, Wenxuan Ren, Syamsul Nor Azlan Mohamad, Jingjing Shi, Huichun Ning",2024,"This study focuses on the application of generative artificial intelligence in the resource library for moral and civic education in primary and secondary schools, exploring its integration, evaluation, and development pathways for educational materials. ...",,10.1145/3700297.3700308,https://dl.acm.org/doi/10.1145/3700297.3700308,ISAIE '24: Proceedings of the 2024 International Symposium on Artificial Intelligence for EducationPages 59–64https://doi.org/10.1145/3700297.3700308,article,ACM
Generative Artificial Intelligence in Learning Analytics: Contextualising Opportunities and Challenges through the Learning Analytics Cycle,"Lixiang Yan, Roberto Martinez-Maldonado, Dragan Gasevic",2024,"Generative artificial intelligence (GenAI), exemplified by ChatGPT, Midjourney, and other state-of-the-art large language models and diffusion models, holds significant potential for transforming education and enhancing human productivity. While the ...",,10.1145/3636555.3636856,https://dl.acm.org/doi/10.1145/3636555.3636856,LAK '24: Proceedings of the 14th Learning Analytics and Knowledge ConferencePages 101–111https://doi.org/10.1145/3636555.3636856,article,ACM
Application and Impact of Generative Artificial Intelligence Techniques in Education--Citespace-based visualization and analysis,"Wenjie Fang, Bin Luo",2025,"Recently, generative AI technology has arisen as a trending research agenda in education. This study makes an review of 260 documents from the CNKI database published from 2020 to 2024. Through the bibliometric and content analysis methods, together with ...",,10.1145/3722237.3722258,https://dl.acm.org/doi/10.1145/3722237.3722258,ICAIE '24: Proceedings of the 2024 3rd International Conference on Artificial Intelligence and EducationPages 117–122https://doi.org/10.1145/3722237.3722258,article,ACM
Early Adoption of Generative Artificial Intelligence in Computing Education: Emergent Student Use Cases and Perspectives in 2023,"C. Estelle Smith, Kylee Shiekh, Hayden Cooreman, Sharfi Rahman, Yifei Zhu, Md Kamrul Siam, Michael Ivanitskiy, Ahmed M. Ahmed, Michael Hallinan, Alexander Grisak, Gabe Fierro",2024,"Because of the rapid development and increasing public availability of Generative Artificial Intelligence (GenAI) models and tools, educational institutions and educators must immediately reckon with the impact of students using GenAI. There is limited ...",,10.1145/3649217.3653575,https://dl.acm.org/doi/10.1145/3649217.3653575,ITiCSE 2024: Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1Pages 3–9https://doi.org/10.1145/3649217.3653575,article,ACM
Research on the scenario application of generative artificial intelligence in ideological and political education of colleges and universities,"Xiaoping Ran, yuyue zeng",2024,"with the rapid development of generative artificial intelligence technology, its application in the field of education is increasingly extensive. The positions outside the first classroom, such as the university network space, the campus environment and ...",,10.1145/3696500.3696575,https://dl.acm.org/doi/10.1145/3696500.3696575,ICBDDM '24: Proceedings of the 2024 International Conference on Big Data and Digital ManagementPages 454–459https://doi.org/10.1145/3696500.3696575,article,ACM
A Study on the Behavioral Intention of Primary and Secondary School Teachers Using Generative Artificial Intelligence in Teaching,"Min Li, Heng Zhang",2024,"With the continuous penetration of AI technology in the field of education, generative artificial intelligence (AIGC), one of its forms, has begun to be applied to teaching in primary and secondary schools. This study focuses on the behavioral intentions ...",,10.1145/3675812.3675870,https://dl.acm.org/doi/10.1145/3675812.3675870,ICDEL '24: Proceedings of the 2024 9th International Conference on Distance Education and LearningPages 35–41https://doi.org/10.1145/3675812.3675870,article,ACM
Teaching CS50 with AI: Leveraging Generative Artificial Intelligence in Computer Science Education,"Rongxin Liu, Carter Zenke, Charlie Liu, Andrew Holmes, Patrick Thornton, David J. Malan",2024,"In Summer 2023, we developed and integrated a suite of AI-based software tools into CS50 at Harvard University. These tools were initially available to approximately 70 summer students, then to thousands of students online, and finally to several hundred ...",,10.1145/3626252.3630938,https://dl.acm.org/doi/10.1145/3626252.3630938,SIGCSE 2024: Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1Pages 750–756https://doi.org/10.1145/3626252.3630938,article,ACM
Opportunities and Challenges of Generative Artificial Intelligence in Facilitating Learning for Chinese University Students,"Shuaiyao Ma, Lei Lei",2024,"With the emergence of Artificial Intelligence in General Chat (AIGC), represented by ChatGPT, collaborative learning tasks between university students and machines have become a new norm in higher education. Simply prohibiting this new wave of technology ...",,10.1145/3660043.3660178,https://dl.acm.org/doi/10.1145/3660043.3660178,ICIEAI '23: Proceedings of the 2023 International Conference on Information Education and Artificial IntelligencePages 756–760https://doi.org/10.1145/3660043.3660178,article,ACM
The Roles and Functions of Foreign Language Teachers of China in the Context of Generative Artificial Intelligence,"Yushuang Zhang, Miao Miao",2024,"With the rapid development of Generative Artificial Intelligence (Generative AI) technology, its application in the field of foreign language teaching is becoming increasingly widespread, showing great potential for improving teaching efficiency and ...",,10.1145/3687311.3687415,https://dl.acm.org/doi/10.1145/3687311.3687415,IECT '24: Proceedings of the 2024 International Conference on Intelligent Education and Computer TechnologyPages 584–586https://doi.org/10.1145/3687311.3687415,article,ACM
Pathways and Empirical Research on Generative Artificial Intelligence Empowering Curriculum Reform in Higher Education: A Case Study of the 'Customer Relationship Management' Course,"Miaoxian Wu, Jinhe Wu",2025,"Paradigm-breaking innovations in generative artificial intelligence (GAI) are revolutionizing the landscape of postgraduate education at an unprecedented rate.This work chooses a Chinese university's ""Customer Relationship Management"" course as a case and ...",,10.1145/3756580.3756627,https://dl.acm.org/doi/10.1145/3756580.3756627,"ICEKIM '25: Proceedings of the 2025 6th International Conference on Education, Knowledge and Information ManagementPages 289–294https://doi.org/10.1145/3756580.3756627",article,ACM
News from Generative Artificial Intelligence Is Believed Less,"Chiara Longoni, Andrey Fradkin, Luca Cian, Gordon Pennycook",2022,"Artificial Intelligence (AI) can generate text virtually indistinguishable from text written by humans. A key question, then, is whether people believe news headlines generated by AI as much as news headlines generated by humans. AI is viewed as lacking ...",,10.1145/3531146.3533077,https://dl.acm.org/doi/10.1145/3531146.3533077,"FAccT '22: Proceedings of the 2022 ACM Conference on Fairness, Accountability, and TransparencyPages 97–106https://doi.org/10.1145/3531146.3533077",article,ACM
A Hybrid Prototype Method Combining Physical Models and Generative Artificial Intelligence to Support Creativity in Conceptual Design,"Hongbo Zhang, Pei Chen, Xuelong Xie, Zhaoqu Jiang, Zihong Zhou, Lingyun Sun",2024,"Conceptual design is an essential stage in the design process, and its ultimate success largely depends on designers’ creativity. Both physical and digital prototypes are commonly adopted by designers to support ideation and creativity, providing ...",,10.1145/3689433,https://dl.acm.org/doi/10.1145/3689433,"ACM Transactions on Computer-Human Interaction (TOCHI), Volume 31, Issue 5Article No.: 65, Pages 1–34https://doi.org/10.1145/3689433",article,ACM
Introduction to the research on the path of generative artificial intelligence technology ChatGPT to help teachers' professional development,"Wenqian Qi, Mengmeng Liu, Na Li, Chenfei Qu, Shaoqing Wang, Yuanmeng Li, Mengyue Zhao, Chao Liu",2024,"This research explores the application of ChatGPT, a generative artificial intelligence technology, in the field of education. ChatGPT, short for ""generative pre-training,"" continuously evolves and adapts through user feedback, facilitating authentic ...",,10.1145/3700297.3700395,https://dl.acm.org/doi/10.1145/3700297.3700395,ISAIE '24: Proceedings of the 2024 International Symposium on Artificial Intelligence for EducationPages 568–573https://doi.org/10.1145/3700297.3700395,article,ACM
Teaching CS50 with AI: Leveraging Generative Artificial Intelligence in Computer Science Education,"Rongxin Liu, Carter Zenke, Charlie Liu, Andrew Holmes, Patrick Thornton, David J. Malan",2024,"CS50.ai is an AI-based educational tool developed and integrated into CS50 at Harvard University using large language models (LLMs), supporting both in-person and online learners. CS50.ai encapsulates a variety of AI-based tools designed to enhance ...",,10.1145/3626253.3635427,https://dl.acm.org/doi/10.1145/3626253.3635427,SIGCSE 2024: Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 2Page 1927https://doi.org/10.1145/3626253.3635427,article,ACM
The Research on the Influencing Factors of College Students'Dishonest Behaviors in Online Learning in the background of Generative Artificial Intelligence,"Ningning Song, Fengwu Han, Pengyang He",2025,"With the popularity of online learning and the development of generative artificial intelligence technology, a significant scale of dishonest behaviors have emerged in the online learning environment, directly harming the construction and development of ...",,10.1145/3711403.3711408,https://dl.acm.org/doi/10.1145/3711403.3711408,ICETM '24: Proceedings of the 2024 7th International Conference on Educational Technology ManagementPages 28–35https://doi.org/10.1145/3711403.3711408,article,ACM
7th International Workshop on Software-intensive Business (IWSiB 2024): Software-intensive Business in the Era of Generative Artificial Intelligence,"Jorge Melegati, Dimitri Petrik, Andrey Saltan",2024,"The 7th International Workshop on Software-intensive Business (IWSiB'24), held on April 16, 2024, in Lisbon, Portugal, as part of the 46th International Conference on Software Engineering (ICSE 2024), brought together diverse research communities to ...",,10.1145/3696117.3696123,https://dl.acm.org/doi/10.1145/3696117.3696123,"ACM SIGSOFT Software Engineering Notes (SIGSOFT), Volume 49, Issue 4Pages 22–25https://doi.org/10.1145/3696117.3696123",article,ACM
"""I'd Never Actually Realized How Big An Impact It Had Until Now"": Perspectives of University Students with Disabilities on Generative Artificial Intelligence","Alex Atcheson, Omar Khan, Brian Siemann, Anika Jain, Karrie Karahalios",2025,Prior research on the experiences of students with disabilities in higher education has surfaced a number of barriers that prevent full inclusion. Generative artificial intelligence (GenAI) has begun to attract interest for its potential to address ...,,10.1145/3706598.3714121,https://dl.acm.org/doi/10.1145/3706598.3714121,"CHI '25: Proceedings of the 2025 CHI Conference on Human Factors in Computing SystemsArticle No.: 42, Pages 1–22https://doi.org/10.1145/3706598.3714121",article,ACM
Based on the generative artificial intelligence painting model Stable Diffusion Application and Research in Product Appearance Design,Guoliang Mu,2025,"Generative AI technology, mainly based on AIGC, has been developed at a fast-moving speed recently, among which Stable Diffusion uses diffusion models, possessing strong and surprising performance on image creation or processing. This paper aims to ...",,10.1145/3726010.3726032,https://dl.acm.org/doi/10.1145/3726010.3726032,"ICADI '24: Proceedings of the 2024 International Conference on Artificial Intelligence, Digital Media Technology and Interaction DesignPages 154–159https://doi.org/10.1145/3726010.3726032",article,ACM
Design and application of a web front-end development course training platform based on generative artificial intelligence and low code development,Qiang Shan,2024,"With the rapid development of artificial intelligence technology, generative artificial intelligence has shown strong application potential in various fields, and low code development has become a popular choice for quickly building application systems ...",,10.1145/3691720.3691768,https://dl.acm.org/doi/10.1145/3691720.3691768,EKI '24: Proceedings of the 2nd International Conference on Educational Knowledge and InformatizationPages 287–291https://doi.org/10.1145/3691720.3691768,article,ACM
The Practicality and Teaching Effect of Intelligent Teaching Platform for Virtual Training and Simulation Operation Based on Generative Artificial Intelligence Technology in Vocational Education in Jiangsu Province,Yushui Xiao,2025,"In the face of the high requirements of vocational education for practical skills training, as well as the poor results and high costs of traditional training, this study aims to build an efficient and intelligent virtual training and simulation operation ...",,10.1145/3757749.3757817,https://dl.acm.org/doi/10.1145/3757749.3757817,"ICCMT '25: Proceedings of the 2025 2nd International Conference on Computer and Multimedia TechnologyJune 2025, Pages 410–415https://doi.org/10.1145/3757749.3757817",article,ACM
The image-generative artificial intelligence Midjourney empowers Chinese landscape painting teaching and creation with positive nurturing,"Jinyong Wu, Yujia Cui, Yingwei Cui",2024,"This study explores the positive impacts of the image-generative AI, Midjourney, on teaching and creating Chinese landscape paintings. Amid the rapid development of image-generative AI, Midjourney acts as an ""assistive creative tool"" in the creation of ...",,10.1145/3691016.3691035,https://dl.acm.org/doi/10.1145/3691016.3691035,"IPICE '24: Proceedings of the 2024 International Conference on Image Processing, Intelligent Control and Computer EngineeringPages 104–108https://doi.org/10.1145/3691016.3691035",article,ACM
The Current Status and Trends of Research on the Impact of Generative Artificial Intelligence on Employment in China,"Wei Ji, Jian Sun, Biaoxin Chen, Chuangli Luo",2024,"With the increasing expansion of technology application scenarios, generative artificial intelligence is set to significantly boost global productivity and profoundly impact China's employment market. This article employs 218 academic papers from 2013 to ...",,10.1145/3675417.3675574,https://dl.acm.org/doi/10.1145/3675417.3675574,DEAI '24: Proceedings of the 2024 Guangdong-Hong Kong-Macao Greater Bay Area International Conference on Digital Economy and Artificial IntelligencePages 948–953https://doi.org/10.1145/3675417.3675574,article,ACM
Analyzing Key Influencing Factors of University Teachers45 Use of Generative Artificial Intelligence in a Small-Sample Data Environment,"Shitou Liu, Zhenjie Liang, Ling Zhang",2024,"This study focuses on exploring the key factors influencing the use of generative artificial intelligence (AI) by university teachers in the context of digital education, particularly in the backdrop of human-computer interaction. Considering the ...",,10.1145/3675417.3675461,https://dl.acm.org/doi/10.1145/3675417.3675461,DEAI '24: Proceedings of the 2024 Guangdong-Hong Kong-Macao Greater Bay Area International Conference on Digital Economy and Artificial IntelligencePages 271–279https://doi.org/10.1145/3675417.3675461,article,ACM
Study on the Role of Generative Artificial Intelligence in Advancing the Knowledge System of Traditional Chinese Medicine in Higher Education,"Jingchao Li, Meiwei Zhan, Shanshan Li",2025,The transfer and promotion of effectively inheritance and innovation of knowledge is a problem that higher education of Chinese medicine must face. This study provides a novel generative AI framework to promote the inheritance and innovative development ...,,10.1145/3729605.3729611,https://dl.acm.org/doi/10.1145/3729605.3729611,ICBDIE '25: Proceedings of the 2025 International Conference on Big Data and Informatization EducationPages 28–33https://doi.org/10.1145/3729605.3729611,article,ACM
Research on the educational application of generative artificial intelligence images in the design of semiotics learning models,"Ming-Yu Hsiao, Simo Zhang",2024,"Generative Artificial Intelligence (AI) has emerged as a novel technology with profound implications for education and deep learning, particularly due to its advancements in image generation. This progress has had a disruptive impact on the design ...",,10.1145/3637907.3637947,https://dl.acm.org/doi/10.1145/3637907.3637947,ICETM '23: Proceedings of the 2023 6th International Conference on Educational Technology ManagementPages 8–15https://doi.org/10.1145/3637907.3637947,article,ACM
